ID,Gender,Race,Age_at_Release,PUMA,Gang,SupervisionRiskScoreFirst,NumSupervisionLevelFirst,Edu,Dependents,PrisonOffense,PrisonYears,NumPriArrFelon,NumPriArrMisd,NumPriArrViol,NumPriArrProp,NumPriArrDrug,NumPriArrPPVch,PriArrDVch,PriArrGunch,NumPriConvFelon,NumPriConvMisd,PriConViol,NumPriConProp,NumPriConDrug,PriConPPVch,PriConDomVch,PriConvGunch,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Y1Crim
68,1,1,35,3,0,999,1,2,2,Drug,12,10,6,1,5,1,5,0,0,2,4,1,0,1,1,0,0,0,1,0,0,0,0
69,1,1,35,3,0,6,4,2,3,999,48,10,6,3,3,4,5,0,0,1,4,0,1,2,1,0,0,0,0,0,0,1,0
70,0,0,50,25,999,3,1,3,0,999,24,7,5,0,4,1,3,0,0,3,4,0,3,1,1,0,0,0,0,1,1,0,0
71,1,0,40,12,0,999,999,2,2,Violent/Non-Sex,12,8,6,2,1,4,5,0,1,2,4,0,1,0,1,0,1,0,1,1,1,0,0
73,1,1,35,6,0,10,1,3,3,Property,24,8,1,0,5,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0
74,1,0,40,12,0,7,4,2,3,Property,12,10,6,3,5,4,5,0,1,3,4,1,3,2,1,0,1,0,0,1,0,1,1
75,1,1,45,4,0,5,1,2,0,999,48,6,6,3,2,4,2,1,1,3,4,1,0,2,1,0,1,1,0,1,0,0,1
76,1,0,45,6,0,10,9,1,3,999,48,10,6,0,5,1,4,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0
77,0,0,45,9,999,9,9,2,2,Property,24,10,3,1,5,5,3,0,0,3,2,0,3,2,0,0,0,0,0,1,1,0,0
78,1,1,35,5,0,9,9,3,1,Property,48,8,5,1,2,4,5,0,0,3,4,0,2,2,1,0,0,1,0,1,0,0,0
80,1,1,35,12,0,5,1,2,2,Property,24,6,4,1,2,2,1,0,0,1,2,0,1,1,1,0,0,0,0,1,1,1,0
82,1,1,35,3,0,1,1,2,1,Property,36,10,1,3,4,0,5,0,0,3,3,0,3,0,1,0,0,0,0,1,1,0,1
84,1,1,40,3,0,7,4,2,0,Drug,36,10,2,2,2,5,5,0,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0
85,0,1,35,3,999,1,999,3,3,Property,12,10,6,3,5,0,5,0,0,3,4,1,3,0,1,0,0,0,0,0,0,0,1
86,1,0,45,14,0,6,4,2,0,Drug,24,9,6,1,3,3,5,0,0,2,4,0,2,1,1,0,0,0,0,1,1,0,0
88,0,1,35,3,999,7,4,2,2,Violent/Non-Sex,48,10,6,2,5,1,5,0,0,3,2,1,3,1,1,0,0,0,0,1,0,1,0
90,1,1,45,3,0,1,4,2,3,Drug,24,7,6,3,0,4,4,0,1,1,1,0,0,2,1,0,1,0,0,1,1,0,0
91,1,0,35,4,0,9,1,2,1,Property,24,8,5,0,5,2,3,0,0,2,2,0,3,0,0,0,0,0,1,1,1,0,0
92,1,1,40,3,0,5,1,3,2,Drug,12,10,6,2,1,1,5,0,1,0,3,1,0,0,1,0,1,0,1,1,0,0,0
93,1,0,35,16,0,4,1,2,2,Other,12,6,2,1,1,0,2,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0
94,1,0,30,6,0,6,4,2,0,Property,12,10,6,2,4,4,5,0,1,1,4,0,2,2,1,0,0,0,0,1,0,0,1
95,1,1,35,6,0,6,4,3,0,999,24,10,1,2,1,5,1,0,0,3,0,1,0,2,0,0,0,0,0,1,1,0,0
96,1,0,45,14,0,10,9,2,0,Property,24,10,6,0,5,2,5,1,0,3,3,0,3,1,1,0,0,0,0,1,1,0,1
97,0,0,30,4,999,10,9,3,1,Property,36,10,6,0,4,2,5,0,0,2,3,0,3,2,1,0,0,0,1,1,1,0,0
99,1,0,50,5,0,6,4,2,3,Property,36,10,6,0,5,0,3,0,0,2,4,0,3,0,1,0,0,0,0,0,1,0,0
100,1,0,50,11,0,6,9,2,1,Drug,48,10,6,2,0,5,5,0,1,3,4,0,0,2,1,0,0,0,0,1,0,0,0
101,0,1,35,12,999,5,1,1,0,Property,12,4,2,0,3,0,3,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0
104,1,1,35,6,0,8,4,2,2,Violent/Non-Sex,36,7,6,2,3,0,5,0,0,1,2,1,1,0,1,0,0,0,0,0,1,1,0
108,1,1,50,6,0,4,1,2,3,999,24,3,1,0,0,4,0,0,0,2,1,1,0,2,0,1,0,0,0,1,1,0,0
109,0,0,45,16,999,10,9,3,1,Property,36,10,6,1,5,2,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,0,0
110,1,1,50,11,0,4,1,3,0,Violent/Non-Sex,48,10,6,3,5,3,5,0,0,3,4,1,3,1,1,0,0,0,1,0,1,1,1
111,1,0,35,17,0,6,4,2,1,999,24,10,6,2,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0
112,1,1,40,21,0,10,9,1,0,Property,24,10,1,0,5,0,1,0,0,3,1,0,3,0,1,0,0,0,0,1,0,0,0
113,1,0,35,25,1,10,9,3,3,Property,24,10,6,1,5,2,5,0,0,3,4,0,3,2,1,0,0,0,0,1,1,0,1
114,1,1,45,5,0,3,999,2,1,Drug,36,10,6,0,1,5,5,0,0,3,4,0,0,2,1,0,0,1,0,0,0,0,0
115,1,0,40,12,1,8,4,3,0,Property,12,10,5,3,5,0,5,0,0,3,2,1,3,0,1,0,0,0,1,1,1,0,0
116,1,0,50,16,0,8,999,3,3,999,12,10,6,3,5,1,5,1,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0
117,1,1,50,16,0,4,9,2,3,Property,36,10,6,3,5,2,4,1,1,3,1,1,3,1,0,0,0,0,0,1,1,1,1
119,1,1,50,16,0,1,1,3,0,Drug,12,9,6,3,3,3,5,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,0
121,1,1,40,5,0,999,999,1,3,Violent/Non-Sex,36,9,6,2,5,1,5,1,1,3,4,1,3,1,0,0,0,1,0,0,0,0,0
122,1,1,35,3,0,5,999,2,3,999,24,5,6,0,2,4,5,0,0,2,4,0,1,2,1,0,0,0,0,0,1,0,0
124,1,0,35,22,0,10,9,2,0,Other,36,10,5,1,5,2,3,0,1,1,3,1,3,2,1,1,1,1,0,1,1,0,0
125,1,0,50,1,0,6,4,2,2,Property,36,10,6,3,5,0,5,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0
126,1,0,35,11,1,10,9,2,3,Property,36,8,6,0,5,1,2,0,0,3,2,0,3,1,1,0,0,0,1,1,0,0,0
127,0,0,40,16,999,6,4,1,3,Drug,24,9,4,1,3,4,3,0,0,3,1,0,1,2,1,0,0,0,0,1,0,0,0
128,1,0,50,16,0,5,4,2,1,Property,48,6,4,1,5,0,0,1,0,3,4,1,3,0,0,1,0,1,0,0,0,0,0
129,1,0,35,16,0,6,1,2,3,Property,12,6,6,0,3,3,5,0,0,1,4,0,3,2,1,0,0,0,0,1,0,1,1
130,1,0,35,16,0,6,1,2,2,Other,36,10,6,1,3,4,5,0,0,3,4,0,1,2,1,0,0,1,0,1,1,0,1
131,0,1,45,5,999,8,1,3,2,Violent/Non-Sex,24,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
133,0,0,50,12,999,10,9,1,0,999,24,10,6,1,5,5,3,0,1,3,4,0,3,2,1,0,0,1,0,1,0,0,0
134,0,1,35,16,999,8,9,3,3,Property,24,9,4,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,1,1,0,0
135,0,0,40,23,999,10,9,2,0,Drug,48,10,6,0,5,1,2,0,0,3,4,0,3,0,1,0,0,0,0,1,1,1,0
137,1,0,35,12,0,5,1,3,3,Property,12,5,5,1,2,1,5,1,0,2,2,0,2,1,1,0,0,0,0,1,1,1,1
139,1,0,35,6,0,8,4,2,0,Other,48,7,5,0,0,5,5,0,0,2,2,0,0,2,1,0,1,1,0,1,1,0,1
141,0,0,45,16,999,9,9,2,3,Drug,36,6,4,0,1,2,4,0,0,3,2,0,1,2,1,0,0,0,0,1,0,0,0
142,1,1,35,5,0,999,999,2,3,Drug,12,6,4,1,0,5,5,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0,0
143,1,1,50,16,0,6,999,2,0,Violent/Non-Sex,24,10,6,3,5,4,5,1,0,3,2,0,3,1,1,0,0,1,0,0,0,0,1
144,1,1,50,8,0,4,999,3,0,Property,36,10,3,0,5,3,5,0,0,3,2,0,3,2,1,0,0,0,0,0,0,0,0
145,1,0,45,14,0,5,1,1,1,Violent/Non-Sex,48,5,6,3,3,0,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
146,1,0,40,17,0,8,4,2,0,Property,12,10,6,1,5,1,5,0,0,3,3,0,3,0,1,0,0,0,1,1,1,0,0
148,0,0,40,16,999,3,1,2,0,Property,12,10,3,1,5,0,5,0,0,3,2,0,3,0,0,0,0,0,1,1,0,1,0
149,1,1,30,8,0,7,4,2,1,999,48,10,6,0,0,5,4,0,1,3,3,0,0,2,1,0,1,0,0,0,0,0,0
151,1,1,35,4,1,5,1,3,1,Violent/Non-Sex,48,6,5,2,2,2,5,0,0,3,1,1,1,1,0,0,0,0,0,1,1,0,0
152,1,1,35,4,0,4,1,2,0,Drug,48,3,0,0,0,2,1,0,1,2,1,0,0,2,0,0,0,0,0,1,0,0,0
153,1,1,50,4,0,2,9,3,0,Property,48,10,6,2,5,1,5,0,0,3,2,1,3,0,0,0,0,0,0,1,1,0,0
155,1,1,40,4,1,5,4,2,3,Other,12,7,6,3,2,2,5,1,1,3,4,1,1,1,1,0,1,0,0,0,1,0,0
156,1,0,35,4,0,5,1,2,3,Drug,12,8,6,3,3,3,5,0,1,2,4,1,1,1,1,1,1,0,0,1,0,0,0
158,1,1,50,4,0,3,999,2,3,Property,36,10,6,3,5,2,5,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0
161,1,1,45,3,0,6,4,2,0,Drug,24,10,5,3,3,3,5,0,0,3,1,1,3,0,1,0,1,0,0,1,1,1,1
162,1,1,45,6,0,2,1,1,3,Drug,12,3,6,2,0,4,1,0,1,1,2,1,0,2,0,0,0,0,0,1,0,0,0
163,1,1,50,16,0,10,9,1,1,Property,48,10,0,0,5,1,4,0,0,3,0,0,3,0,1,0,0,1,0,1,0,0,1
164,0,0,35,23,999,3,1,1,2,Property,12,10,6,0,5,2,4,0,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0
166,1,0,45,12,0,6,1,2,2,999,24,10,6,0,2,5,5,0,1,3,4,0,2,2,1,0,1,0,1,1,1,1,0
168,1,1,50,14,0,2,1,2,2,Other,12,4,6,0,0,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0
170,1,0,50,2,0,8,9,3,0,Violent/Non-Sex,48,10,3,3,5,1,3,0,1,3,3,1,3,0,1,0,0,0,0,0,0,0,0
172,1,1,40,6,0,4,1,1,1,Other,12,7,5,1,2,3,5,0,0,2,2,1,2,2,0,0,0,0,1,1,0,0,0
173,1,1,30,4,0,6,9,3,0,Violent/Non-Sex,48,9,6,2,5,0,5,1,0,3,4,1,3,0,0,1,0,0,0,1,0,1,0
174,1,0,40,16,0,4,1,2,0,Violent/Non-Sex,24,4,6,3,0,1,4,1,0,3,4,1,0,1,1,1,0,0,0,1,1,1,0
176,0,0,35,3,999,10,9,1,3,Property,24,10,2,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,1,1,1,0,0
177,1,1,40,4,1,5,1,3,3,Property,36,10,6,3,5,2,5,0,1,3,4,1,3,1,1,0,1,0,1,1,1,0,1
180,1,1,45,4,0,3,999,3,0,Property,12,10,6,0,5,0,5,0,0,3,3,0,3,0,1,0,0,0,0,0,0,0,0
181,1,0,30,12,1,6,4,2,1,Violent/Non-Sex,24,6,5,1,2,3,5,0,0,1,1,1,1,2,1,0,1,0,1,1,1,1,1
183,1,0,30,12,0,8,4,1,1,Violent/Non-Sex,24,8,6,1,0,5,4,1,0,3,2,1,0,2,1,0,0,0,0,1,0,1,0
184,1,0,30,14,0,5,9,2,2,Violent/Non-Sex,36,6,6,3,3,3,5,1,1,3,4,1,2,2,1,1,1,0,0,1,1,1,1
185,1,1,35,4,0,4,1,2,0,Violent/Non-Sex,12,10,6,3,0,3,5,0,0,3,4,1,0,2,1,0,0,0,0,0,0,1,1
186,1,1,35,4,0,9,9,3,0,999,48,10,6,0,0,5,5,0,1,2,4,0,0,2,1,0,1,1,0,0,0,0,0
187,1,0,35,16,0,7,4,1,2,Violent/Non-Sex,12,4,5,1,2,0,4,0,0,1,2,1,2,0,1,0,0,0,1,1,0,1,1
188,0,0,30,16,999,10,1,2,1,Drug,12,10,3,0,3,3,5,0,1,3,3,1,3,1,1,0,1,0,1,1,1,0,0
189,1,1,35,6,1,7,4,2,3,Other,12,10,6,1,5,5,5,1,1,2,4,1,0,2,1,0,1,0,1,1,0,0,0
190,1,1,40,4,0,8,4,2,2,Drug,24,9,6,0,1,5,4,0,1,3,4,0,0,2,1,0,1,1,0,1,0,0,0
191,1,0,30,16,0,6,1,2,3,Property,24,10,6,1,5,1,5,0,0,3,4,0,3,0,1,0,0,0,0,1,1,1,1
192,1,1,40,4,0,6,9,3,3,Violent/Non-Sex,48,10,6,3,5,1,5,0,0,3,4,1,3,1,1,0,0,0,0,0,0,0,0
194,1,0,50,16,0,5,1,3,1,Property,36,10,6,1,5,1,5,1,0,3,4,0,3,1,1,0,0,0,1,1,1,1,0
195,1,0,35,16,0,4,9,2,3,Violent/Sex,36,3,6,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
196,0,0,45,16,999,5,1,2,2,Property,12,0,6,0,4,0,2,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0
197,1,0,35,16,0,6,1,2,2,Drug,24,7,2,0,3,3,2,1,0,2,1,1,1,1,0,1,0,1,0,1,1,1,1
199,0,0,45,4,999,5,1,1,0,999,48,9,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
200,1,0,25,17,1,5,1,3,2,Drug,12,5,2,2,0,3,3,1,0,1,1,1,0,2,0,0,0,0,0,1,1,0,1
201,0,0,45,14,999,6,4,3,3,Property,12,8,6,0,3,5,5,0,0,1,2,0,0,2,1,0,0,0,1,1,1,1,0
202,1,1,35,16,0,10,9,2,3,Other,36,10,4,2,3,5,5,0,1,3,4,1,3,2,1,0,1,0,0,1,1,0,0
203,1,0,40,4,0,4,1,2,3,Property,24,8,5,0,5,0,4,0,0,3,2,0,3,0,0,0,0,0,0,1,0,0,0
204,0,0,50,16,999,3,1,1,1,999,12,5,4,1,1,3,2,0,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0
205,1,0,50,6,0,5,1,2,1,Drug,24,6,6,1,1,4,5,0,1,3,3,0,0,2,1,0,1,0,0,1,0,0,0
207,1,0,50,18,0,6,4,2,1,999,24,7,0,1,0,3,1,0,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0
210,1,1,35,3,0,5,1,3,1,999,48,4,6,2,0,5,1,0,0,3,1,0,0,2,0,0,0,0,0,1,1,0,0
212,1,1,40,5,0,3,1,2,3,Drug,12,3,1,0,0,3,1,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0
213,1,1,45,3,0,2,1,3,1,Property,12,10,3,0,5,0,5,0,0,3,2,0,3,0,1,0,0,0,0,1,1,0,0
215,1,1,45,8,0,7,9,1,2,Violent/Non-Sex,48,6,3,3,3,0,1,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0
218,1,1,50,4,0,4,4,3,3,Violent/Non-Sex,24,10,2,3,5,3,5,0,0,2,2,1,3,0,1,0,0,0,0,1,1,0,0
219,0,0,50,16,999,3,1,2,0,Property,12,10,5,1,5,1,5,0,0,3,2,0,3,0,1,0,0,0,0,1,1,0,1
220,1,1,35,4,1,6,1,2,3,Violent/Non-Sex,48,8,5,3,2,5,3,1,0,3,0,1,1,1,0,0,0,0,0,1,1,1,0
221,1,1,45,15,0,2,1,1,0,Property,12,5,5,0,4,2,2,0,0,3,3,1,3,1,1,0,0,0,0,1,0,1,1
223,1,1,50,14,0,4,999,2,0,Property,24,5,4,0,4,1,3,0,0,3,3,0,3,1,1,0,0,0,0,1,0,0,0
224,0,0,45,12,999,5,999,2,0,Property,24,10,6,3,1,4,5,1,0,3,4,1,0,2,0,0,0,1,0,1,1,0,0
225,1,0,30,3,0,5,1,2,1,Property,12,10,6,0,5,1,5,0,0,3,3,0,3,0,0,0,0,0,0,1,1,0,0
226,1,0,35,17,0,6,1,3,1,Other,24,9,6,3,1,2,5,1,1,2,4,1,1,2,1,0,1,0,0,1,0,0,0
227,1,0,50,6,0,7,4,1,0,Property,36,10,4,2,5,3,5,0,0,3,1,1,3,2,1,0,0,0,0,1,0,0,0
228,1,0,30,5,0,7,4,2,0,Property,48,9,6,1,4,2,5,1,0,3,4,0,3,0,1,0,0,0,0,1,0,0,1
229,1,0,40,9,0,8,4,2,0,Property,24,10,6,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,1,1,1,0
230,1,0,35,4,0,6,4,3,3,Property,24,3,4,0,3,1,1,0,0,3,3,1,3,0,1,1,0,0,0,1,1,0,0
231,0,0,40,4,999,5,999,1,3,Property,12,10,6,0,5,3,5,0,0,3,4,0,3,2,1,0,0,0,1,1,0,0,1
234,1,0,40,3,0,8,9,1,3,Drug,24,5,6,0,2,5,4,0,0,2,2,0,2,2,1,0,0,1,0,1,0,0,1
236,1,0,45,14,0,10,9,2,0,Property,48,10,5,1,5,1,5,0,0,3,2,0,3,2,1,0,0,0,1,1,1,0,0
237,1,0,40,21,0,9,1,3,0,Property,24,10,6,1,5,5,5,0,1,3,4,0,3,1,1,0,1,0,1,0,0,0,1
238,1,0,45,16,0,7,4,2,3,Property,48,10,6,3,5,0,5,1,0,3,4,1,3,0,1,0,0,1,0,1,1,1,0
239,1,0,40,16,0,8,1,2,1,Property,48,10,6,3,3,1,5,1,0,3,4,0,2,1,0,1,0,0,0,1,1,1,0
240,1,1,30,4,1,8,4,2,3,999,36,8,6,3,2,5,5,1,1,2,3,1,1,2,0,0,0,0,0,1,1,0,0
241,1,1,35,11,0,9,9,3,1,Violent/Non-Sex,36,10,6,2,5,5,3,0,0,3,4,1,2,2,1,0,0,0,0,1,1,1,0
243,1,1,45,3,0,4,1,2,3,Violent/Non-Sex,48,7,6,3,0,2,5,0,1,2,4,1,0,1,1,0,0,0,0,1,1,1,1
245,1,1,35,11,1,1,9,3,0,Violent/Non-Sex,24,10,6,3,3,3,5,1,1,3,4,1,1,0,1,1,1,0,0,0,0,1,0
246,1,0,30,3,0,7,4,1,3,Property,36,10,2,0,5,0,2,0,0,3,1,0,3,0,0,0,0,0,1,1,1,0,0
247,1,0,45,9,0,1,999,2,1,Drug,12,10,6,2,5,3,4,1,0,3,3,1,3,2,1,1,0,0,1,1,0,1,0
249,1,1,45,21,0,7,4,1,1,Property,36,10,6,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0
250,0,0,45,14,999,4,999,1,3,Other,12,6,6,1,1,3,5,0,0,0,4,0,1,1,0,0,0,0,0,1,0,0,1
251,1,1,40,4,1,6,4,2,1,Violent/Non-Sex,36,10,6,3,5,1,5,1,1,3,4,1,2,0,1,1,0,1,0,1,0,1,1
252,1,1,30,12,1,10,9,2,2,Violent/Non-Sex,48,3,3,1,2,0,2,0,0,1,2,1,2,0,1,0,1,0,0,0,1,1,0
253,1,0,40,24,0,5,9,3,2,999,24,6,6,2,5,0,4,1,0,3,4,1,3,0,1,1,0,0,0,1,0,1,0
254,1,0,50,6,0,5,4,3,0,Drug,24,10,6,2,5,1,5,0,0,3,4,1,3,1,1,0,0,0,0,1,1,0,1
255,1,0,35,17,0,4,9,2,1,Violent/Sex,24,6,6,0,5,0,5,0,0,1,4,0,3,1,1,0,0,0,1,0,1,1,0
257,1,0,45,16,0,5,999,1,1,Other,24,10,6,0,4,5,3,0,1,3,4,1,2,1,0,0,0,0,0,1,0,0,0
259,1,1,30,3,0,6,4,2,0,Violent/Non-Sex,12,6,6,2,2,4,1,1,0,2,4,0,1,2,0,0,0,0,1,1,0,0,0
260,0,1,30,12,999,7,4,2,0,Drug,24,7,2,0,2,2,3,0,1,1,2,0,2,2,0,0,1,0,0,1,1,0,1
